Title,Company,Skills,Region,City
senior mechanical engineer firefighting  plumbing,q design,"sales target, pumps, salesretail, engineering  mechanicalelectrical, sales skills",maadi,cairo
ai engineer,quantanite,"english, computer science, ai, arabic, presales, sales skills, proposal, information technology it, itsoftware development",maadi,cairo
it business partner,british university of egypt,"sales target, management, sales skills, construction, business development",shorouk city,cairo
full stack developer,babeleye,"json, go, javascript, aws, nodejs, azure, software development, information technology it, software engineering, nosql, rest",maadi,cairo
software tester,al ateeq software,"computer science, qa, qc, quality control, appium, selenium, information technology it, software testing, quality assurance",new nozha,cairo
it help desk,aman,"communication skills, computer science, mcsa, installation, ccna, information technology it, itsoftware development",No Region,cairo
it compliance auditor,pharma overseas,"english, tax compliance, arabic, sap, quality, erp, finance, accounting, accountingfinance",No Region,cairo
project manager,confidential,"ms project, pmp, projectprogram management, agile methodology, microsoft project, quality assurance",No Region,giza
technical office engineer,artram,"english, technical drawings, design, microsoft office, quantity survey, mechanical engineering, autocad",No Region,cairo
functional consultant ms dynamics 365 fofinance,dynamicslink,"ms sql, ax, computer science, microsoft dynamics, erp, information technology it, itsoftware development",nasr city,cairo
engineer,أكاديمية ابداع للتدريب والاستشارات ibdaa academy,"sales target, english, crm, technical, males only, salesretail, mechanical, sales skills, microsoft office, electrical engineering",bourj alarab,alexandria
project planning engineer,confidential,"english, ms office, project management, supply chain, planning engineering, production, logisticssupply chain, bom",shorouk city,cairo
senior  net developer,algoriza,"ms sql, tfs, git, devexpress, aspnet, computer science, winforms, desktop development, mvc, information technology it",giza,giza
it services engineer,smart technology solutions,"microsoft excel, computer skills, microsoft office, accounting, collection, customer support, accountingfinance",sheraton,cairo
it engineer,smart technology solutions,"english, salesretail, computer science, software, sales skills, marketing, b2b sales, itsoftware development",new damietta,damietta
scheduling coordinator,aria systems,"english, ms office, computer skills, sales skills, communication, business administration, sales coordinator",maadi,cairo
senior laravel developer  tall stack laravel  livewire  alpine js  tailwind css,boca pro,"testing, rest api, design, computer science, mysql, information technology it, php, itsoftware development",maadi,cairo
unreal developer,creative motion,"computer science, game design, 3d, information technology it, itsoftware development",maadi,cairo
it help desk,confidential,"communication skills, computer science, mcsa, installation, ccna, information technology it, itsoftware development",No Region,qalubia
it technical support,alfanar,"english, customer support, computer science, customer care, software development, software engineering, customer service",No Region,cairo
devops engineer,exceed,"cicd, engineering, agile, software automation, computer science, operations, software development, information technology it",No Region,cairo
routing specialist,confidential,"sales target, english, communication skills, management, arabic, software, information technology it, planning, customer service",mohandessin,giza
oracle developer forms,ultimate solutions egypt,"oracle plsql, java se, computer science, oracle forms, oracle sql, plsql, software development, information technology it, pl",sheikh zayed,giza
backend developer,brmja tech,"agile, computer science, docker, nodejs, mongodb, typescript based api, software development, information technology it, php",faisal,giza
electrical design team leader,q design,"electrical design engineering, english, males only, creative designing, programming, electrical engineering, autocad",maadi,cairo
web administrator,confidential,"administration, ms office, microsoft office, office management, erp, business administration, assistant, accounting",maadi,cairo
erp application consultant,contrackfm,"computer science, cnet, it, erp, software development, microsoft sql server, software engineering, accounting",downtown,cairo
it help desk specialist,misr international hospital,"mcse, ccna, computer, information technology it, engineering  telecomtechnology, itsoftware development",dokki,giza
product designer uxui,wuzzuf,"automation testing, agile, computer science, scrum, ui, information technology it, software testing, quality assurance, api",maadi,cairo
data analyst,juniortex,"english, tableau, analystresearch, business, data analysis, itsoftware development",No Region,cairo
